record_id,region,category_title,videos_count,date
606,France,Entertainment,96,22/11/2017
607,France,Entertainment,98,23/11/2017
608,France,Entertainment,88,24/11/2017
609,France,Entertainment,84,25/11/2017
610,France,Entertainment,66,26/11/2017
611,France,Entertainment,64,27/11/2017
612,France,Entertainment,98,28/11/2017
613,France,Entertainment,108,29/11/2017
614,France,Entertainment,90,30/11/2017
615,France,Entertainment,90,01/12/2017
616,France,Entertainment,68,02/12/2017
617,France,Entertainment,98,03/12/2017
618,France,Entertainment,96,04/12/2017
619,France,Entertainment,108,05/12/2017
620,France,Entertainment,108,06/12/2017
621,France,Entertainment,104,07/12/2017
622,France,Entertainment,102,08/12/2017
623,France,Entertainment,78,09/12/2017
624,France,Entertainment,92,10/12/2017
625,France,Entertainment,86,11/12/2017
626,France,Entertainment,104,12/12/2017
627,France,Entertainment,98,13/12/2017
628,France,Entertainment,82,14/12/2017
629,France,Entertainment,78,15/12/2017
630,France,Entertainment,96,16/12/2017
631,France,Entertainment,98,17/12/2017
632,France,Entertainment,104,18/12/2017
633,France,Entertainment,112,19/12/2017
634,France,Entertainment,104,20/12/2017
635,France,Entertainment,102,21/12/2017
636,France,Entertainment,80,22/12/2017
637,France,Entertainment,74,23/12/2017
638,France,Entertainment,104,24/12/2017
639,France,Entertainment,102,25/12/2017
640,France,Entertainment,96,26/12/2017
641,France,Entertainment,112,27/12/2017
642,France,Entertainment,92,28/12/2017
643,France,Entertainment,102,29/12/2017
644,France,Entertainment,116,30/12/2017
645,France,Entertainment,100,31/12/2017
646,France,Entertainment,84,01/01/2018
647,France,Entertainment,84,02/01/2018
648,France,Entertainment,84,03/01/2018
649,France,Entertainment,86,04/01/2018
650,France,Entertainment,86,05/01/2018
651,France,Entertainment,82,06/01/2018
652,France,Entertainment,94,07/01/2018
653,France,Entertainment,90,08/01/2018
654,France,Entertainment,110,09/01/2018
655,France,Entertainment,76,12/01/2018
656,France,Entertainment,82,13/01/2018
657,France,Entertainment,96,14/01/2018
658,France,Entertainment,74,15/01/2018
659,France,Entertainment,68,16/01/2018
660,France,Entertainment,80,17/01/2018
661,France,Entertainment,80,18/01/2018
662,France,Entertainment,78,19/01/2018
663,France,Entertainment,76,20/01/2018
664,France,Entertainment,100,21/01/2018
665,France,Entertainment,86,22/01/2018
666,France,Entertainment,92,23/01/2018
667,France,Entertainment,96,24/01/2018
668,France,Entertainment,86,25/01/2018
669,France,Entertainment,86,26/01/2018
670,France,Entertainment,84,27/01/2018
